cv-raman-block/basement.js | ID: cv-raman-basement-stairs | Name: STAIRS | Label: STAIRS | x: 614, y: 1380, w: 119, h: 75 (Lines 319-339)
cv-raman-block/fifth.js | ID: cv-raman-fifth-humanities-staff | Name: DEPT. OF HUMANITIES STAFF ROOM | Label: DEPT. OF HUMANITIES STAFF ROOM | x: -99, y: 1064, w: 239, h: 247 (Lines 136-152)
cv-raman-block/fifth.js | ID: cv-raman-fifth-lift | Name: LIFT | Label: LIFT | x: 576, y: 473, w: 120, h: 160 (Lines 170-186)
cv-raman-block/fifth.js | ID: cv-raman-fifth-stairs-up-1 | Name: stairs-up | Label: stairs-up | x: 311, y: 57, w: 160, h: 100 (Lines 187-203)
cv-raman-block/fifth.js | ID: cv-raman-fifth-stairs-down-1 | Name: stairs-down | Label: stairs-down | x: 520, y: 56, w: 160, h: 100 (Lines 204-220)
cv-raman-block/fifth.js | ID: cv-raman-fifth-stairs-down-2 | Name: stairs-down | Label: stairs-down | x: 381, y: 927, w: 171, h: 100 (Lines 221-237)
cv-raman-block/first.js | ID: cv-raman-first-lift | Name: LIFT | Label: LIFT | x: 576, y: 473, w: 120, h: 160 (Lines 65-81)
cv-raman-block/first.js | ID: cv-raman-first-stairs-up-1 | Name: stairs-up | Label: stairs-up | x: 311, y: 57, w: 160, h: 100 (Lines 184-200)
cv-raman-block/first.js | ID: cv-raman-first-stairs-down-1 | Name: stairs-down | Label: stairs-down | x: 520, y: 56, w: 160, h: 100 (Lines 201-217)
cv-raman-block/first.js | ID: cv-raman-first-stairs-up-2 | Name: stairs-up | Label: stairs-up | x: 654, y: 919, w: 160, h: 50 (Lines 218-234)
cv-raman-block/first.js | ID: cv-raman-first-stairs-down-2 | Name: stairs-down | Label: stairs-down | x: 654, y: 979, w: 160, h: 50 (Lines 235-251)
cv-raman-block/fourth.js | ID: cv-raman-fourth-lift | Name: LIFT | Label: LIFT | x: 576, y: 473, w: 120, h: 160 (Lines 85-101)
cv-raman-block/fourth.js | ID: cv-raman-fourth-lc47 | Name: LC-47 | Label: LC-47 | x: 859, y: 725, w: 158, h: 72 (Lines 170-186)
cv-raman-block/fourth.js | ID: cv-raman-fourth-sr | Name: STAFF ROOM | Label: STAFF ROOM | x: 200, y: 1041, w: 239, h: 247 (Lines 187-203)
cv-raman-block/fourth.js | ID: cv-raman-fourth-stairs-up-1 | Name: stairs-up | Label: stairs-up | x: 311, y: 57, w: 160, h: 100 (Lines 238-254)
cv-raman-block/fourth.js | ID: cv-raman-fourth-stairs-down-1 | Name: stairs-down | Label: stairs-down | x: 520, y: 56, w: 160, h: 100 (Lines 255-271)
cv-raman-block/fourth.js | ID: cv-raman-fourth-stairs-up-2 | Name: stairs-up | Label: stairs-up | x: 647, y: 905, w: 166, h: 109 (Lines 272-288)
cv-raman-block/fourth.js | ID: cv-raman-fourth-stairs-down-2 | Name: stairs-down | Label: stairs-down | x: 463, y: 913, w: 171, h: 100 (Lines 289-305)
cv-raman-block/ground.js | ID: cv-raman-ground-lift | Name: LIFT | Label: LIFT | x: 576, y: 473, w: 120, h: 160 (Lines 198-218)
cv-raman-block/ground.js | ID: cv-raman-ground-stairs-up | Name: stairs-up | Label: stairs-up | x: 654, y: 919, w: 160, h: 100 (Lines 303-323)
cv-raman-block/ground.js | ID: cv-raman-ground-stairs-up-2 | Name: stairs-up | Label: stairs-up | x: 311, y: 57, w: 160, h: 100 (Lines 324-344)
cv-raman-block/ground.js | ID: cv-raman-ground-stairs-down | Name: stairs-down | Label: stairs-down | x: 520, y: 56, w: 160, h: 100 (Lines 345-365)
cv-raman-block/second.js | ID: cv-raman-second-lift | Name: LIFT | Label: LIFT | x: 576, y: 473, w: 120, h: 160 (Lines 85-101)
cv-raman-block/second.js | ID: cv-raman-second-stairs-up-1 | Name: stairs-up | Label: stairs-up | x: 311, y: 57, w: 160, h: 100 (Lines 239-255)
cv-raman-block/second.js | ID: cv-raman-second-stairs-down-1 | Name: stairs-down | Label: stairs-down | x: 520, y: 56, w: 160, h: 100 (Lines 256-272)
cv-raman-block/second.js | ID: cv-raman-second-stairs-up-2 | Name: stairs-up | Label: stairs-up | x: 654, y: 919, w: 160, h: 50 (Lines 273-289)
cv-raman-block/second.js | ID: cv-raman-second-stairs-down-2 | Name: stairs-down | Label: stairs-down | x: 654, y: 979, w: 160, h: 50 (Lines 290-306)
cv-raman-block/third.js | ID: cv-raman-third-lift | Name: LIFT | Label: LIFT | x: 576, y: 473, w: 120, h: 160 (Lines 102-118)
cv-raman-block/third.js | ID: cv-raman-third-lc37 | Name: LC-37 | Label: LC-37 | x: 859, y: 725, w: 158, h: 72 (Lines 204-220)
cv-raman-block/third.js | ID: cv-raman-third-stairs-up-1 | Name: stairs-up | Label: stairs-up | x: 311, y: 57, w: 160, h: 100 (Lines 272-288)
cv-raman-block/third.js | ID: cv-raman-third-stairs-down-1 | Name: stairs-down | Label: stairs-down | x: 520, y: 56, w: 160, h: 100 (Lines 289-305)
cv-raman-block/third.js | ID: cv-raman-third-stairs-up-2 | Name: stairs-up | Label: stairs-up | x: 647, y: 905, w: 166, h: 109 (Lines 306-322)
cv-raman-block/third.js | ID: cv-raman-third-stairs-down-2 | Name: stairs-down | Label: stairs-down | x: 463, y: 913, w: 171, h: 100 (Lines 323-339)
ramanujan-block/first.js | ID: ramanujan-first-stairs-left | Name: stair-up | Label: stair-up | x: 792, y: 1129, w: 183, h: 87 (Lines 92-108)
ramanujan-block/first.js | ID: ramanujan-first-stairs-down-left | Name: stair-down | Label: stair-down | x: 520, y: 1136, w: 198, h: 83 (Lines 109-125)
ramanujan-block/first.js | ID: ramanujan-first-jn-smh | Name: CABINS (DR. JN & DR. SMH) | Label: CABINS (DR. JN & DR. SMH) | x: 1277, y: 699, w: 239, h: 115 (Lines 245-261)
ramanujan-block/fourth.js | ID: ramanujan-fourth-stairs-left-up | Name: STAIRS UP | Label: STAIRS UP | x: 238, y: 990, w: 131, h: 112 (Lines 102-118)
ramanujan-block/fourth.js | ID: ramanujan-fourth-stairs-left-down | Name: STAIRS DOWN | Label: STAIRS DOWN | x: 398, y: 987, w: 143, h: 105 (Lines 119-135)
ramanujan-block/fourth.js | ID: ramanujan-fourth-cyber-hod | Name: DEPT OF CYBER SECURITY (HOD) | Label: DEPT OF CYBER SECURITY (HOD) | x: 750, y: 1008, w: 272, h: 95 (Lines 136-152)
ramanujan-block/fourth.js | ID: ramanujan-fourth-sr-bot-left | Name: STAFF ROOM | Label: STAFF ROOM | x: 1474, y: 716, w: 127, h: 83 (Lines 255-271)
ramanujan-block/fourth.js | ID: ramanujan-fourth-stairs-main-up | Name: STAIRS UP | Label: STAIRS UP | x: 2164, y: 718, w: 129, h: 110 (Lines 442-458)
ramanujan-block/fourth.js | ID: ramanujan-fourth-stairs-main-down | Name: STAIRS DOWN | Label: STAIRS DOWN | x: 2307, y: 711, w: 131, h: 120 (Lines 459-475)
ramanujan-block/ground.js | ID: ramanujan-ground-stairs-main | Name: stair-up | Label: stair-up | x: 855, y: 499, w: 230, h: 120 (Lines 124-140)
ramanujan-block/ground.js | ID: ramanujan-ground-lift | Name: LIFT | Label: LIFT | x: -474, y: 504, w: 100, h: 100 (Lines 141-157)
ramanujan-block/ground.js | ID: ramanujan-ground-stairs-left | Name: stair-up | Label: stair-up | x: -890, y: 915, w: 227, h: 87 (Lines 158-174)
ramanujan-block/ground.js | ID: ramanujan-ground-placement | Name: PLACEMENT OFFICE | Label: PLACEMENT OFFICE | x: 1449, y: 500, w: 225, h: 115 (Lines 311-327)
ramanujan-block/second.js | ID: ramanujan-second-stairs-down-left | Name: stair-down | Label: stair-down | x: 252, y: 1002, w: 125, h: 111 (Lines 105-121)
ramanujan-block/second.js | ID: ramanujan-second-stairs-up-left | Name: stair-up | Label: stair-up | x: 387, y: 1001, w: 107, h: 113 (Lines 122-138)
ramanujan-block/second.js | ID: ramanujan-second-mech-hod | Name: DEPT OF MECH (HOD) | Label: DEPT OF MECH (HOD) | x: 736, y: 991, w: 162, h: 117 (Lines 139-155)
ramanujan-block/second.js | ID: ramanujan-second-stairs-main-down | Name: stair-down | Label: stair-down | x: 2326, y: 711, w: 108, h: 98 (Lines 548-564)
ramanujan-block/second.js | ID: ramanujan-second-stairs-main-up | Name: stair-up | Label: stair-up | x: 2209, y: 711, w: 109, h: 100 (Lines 565-581)
ramanujan-block/third.js | ID: ramanujan-third-stairs-left-down | Name: stair-down | Label: stair-down | x: 232, y: 972, w: 188, h: 139 (Lines 143-159)
ramanujan-block/third.js | ID: ramanujan-third-stairs-left-up | Name: stair-up | Label: stair-up | x: 434, y: 979, w: 160, h: 138 (Lines 160-176)
ramanujan-block/third.js | ID: ramanujan-third-dr-vds-hod | Name: E&C DEPT. OFFICE / HOD | Label: E&C DEPT. OFFICE / HOD | x: 713, y: 991, w: 204, h: 117 (Lines 212-228)
ramanujan-block/third.js | ID: ramanujan-third-stairs-main-up | Name: stair-up | Label: stair-up | x: 2161, y: 708, w: 137, h: 113 (Lines 501-517)
ramanujan-block/third.js | ID: ramanujan-third-stairs-main-down | Name: stair-down | Label: stair-down | x: 2313, y: 711, w: 125, h: 111 (Lines 518-534)
smv-block/fifth.js | ID: smv-fifth-smvl55 | Name: SMVL-55 | Label: SMVL-55 | x: 883, y: 1331, w: 180, h: 80 (Lines 130-146)
smv-block/fifth.js | ID: smv-fifth-stairs-up | Name: STAIRS UP | Label: STAIRS UP | x: 167, y: 921, w: 153, h: 73 (Lines 334-350)
smv-block/fifth.js | ID: smv-fifth-stairs-down | Name: STAIRS DOWN | Label: STAIRS DOWN | x: 335, y: 925, w: 153, h: 75 (Lines 351-367)
smv-block/first.js | ID: smv-first-stairs-up | Name: STAIRS UP | Label: STAIRS UP | x: 167, y: 921, w: 153, h: 73 (Lines 213-229)
smv-block/first.js | ID: smv-first-stairs-down | Name: STAIRS DOWN | Label: STAIRS DOWN | x: 335, y: 925, w: 153, h: 75 (Lines 230-246)
smv-block/fourth.js | ID: smv-fourth-stairs-up | Name: STAIRS UP | Label: STAIRS UP | x: 167, y: 921, w: 153, h: 73 (Lines 351-367)
smv-block/fourth.js | ID: smv-fourth-stairs-down | Name: STAIRS DOWN | Label: STAIRS DOWN | x: 335, y: 925, w: 153, h: 75 (Lines 368-384)
smv-block/ground.js | ID: smv-ground-stairs | Name: STAIRS UP | Label: STAIRS UP | x: 277, y: 966, w: 166, h: 75 (Lines 60-76)
smv-block/ground.js | ID: smv-ground-lift-vertical | Name: LIFT | Label: LIFT | x: 512, y: 935, w: 90, h: 120 (Lines 77-93)
smv-block/second.js | ID: smv-second-stairs-down | Name: STAIRS DOWN | Label: STAIRS DOWN | x: 335, y: 942, w: 153, h: 75 (Lines 247-263)
smv-block/second.js | ID: smv-second-stairs-up | Name: STAIRS UP | Label: STAIRS UP | x: 169, y: 945, w: 153, h: 73 (Lines 264-280)
smv-block/sixth.js | ID: smv-sixth-stairs-down | Name: STAIRS DOWN | Label: STAIRS DOWN | x: 335, y: 925, w: 153, h: 75 (Lines 215-231)
smv-block/third.js | ID: smv-third-stairs-up | Name: STAIRS UP | Label: STAIRS UP | x: 167, y: 921, w: 153, h: 73 (Lines 247-263)
smv-block/third.js | ID: smv-third-stairs-down | Name: STAIRS DOWN | Label: STAIRS DOWN | x: 335, y: 925, w: 153, h: 75 (Lines 264-280)
atal-block/first.js | ID: atal-first-stairs-left-up | Name: STAIRS-UP | Label: STAIRS-UP | x: -940, y: 617, w: 209, h: 103 (Lines 28-44)
atal-block/first.js | ID: atal-first-stairs-left-down | Name: STAIRS-DOWN | Label: STAIRS-DOWN | x: -712, y: 628, w: 191, h: 93 (Lines 45-61)
atal-block/first.js | ID: atal-first-lift | Name: LIFT | Label: LIFT | x: -487, y: 614, w: 150, h: 150 (Lines 62-78)
atal-block/first.js | ID: atal-first-stairs-central-up | Name: STAIRS-UP | Label: STAIRS-UP | x: 936, y: 602, w: 193, h: 139 (Lines 130-146)
atal-block/first.js | ID: atal-first-stairs-central-down | Name: STAIRS-DOWN | Label: STAIRS-DOWN | x: 1181, y: 607, w: 193, h: 134 (Lines 147-163)
atal-block/first.js | ID: atal-first-ladies-toilet | Name: LADIES TOILET | Label: LADIES TOILET | x: 1480, y: 623, w: 200, h: 150 (Lines 164-180)
atal-block/ground.js | ID: atal-ground-stairs-left | Name: STAIRS-UP | Label: STAIRS-UP | x: -929, y: 623, w: 200, h: 150 (Lines 27-43)
atal-block/ground.js | ID: atal-ground-stairs-up | Name: STAIRS-UP | Label: STAIRS-UP | x: 1614, y: 617, w: 240, h: 160 (Lines 112-128)
atal-block/ground.js | ID: atal-ground-materials-lab | Name: MATERIALS PERFORMANCE & CHARACTERIZATION LABORATORY | Label: MATERIALS PERFORMANCE & CHARACTERIZATION LABORATORY | x: 308, y: 862, w: 506, h: 171 (Lines 129-145)
